frame_id,time_stamp, ,normal, , ,start, , ,end, , ,direction, 
54655,352686822177,0.681617,-0.727524,-0.0781554,-44.4632,142.391,-88.5875,-15.7038,140.783,-99.9687,-0.928581,0.0519393,0.367476
54655,352686822177,0.681617,-0.727524,-0.0781554,-15.7038,140.783,-99.9687,0.644158,137.021,-103.445,-0.954257,0.21959,0.202914
54655,352686822177,0.681617,-0.727524,-0.0781554,0.644158,137.021,-103.445,14.9008,132.284,-104.946,-0.944288,0.313751,0.0994012
54656,352686831231,0.645916,-0.761269,-0.0571191,-35.7258,128.563,-15.6069,-35.7258,128.563,-15.6069,0,0,0
54656,352686831231,0.645916,-0.761269,-0.0571191,-35.7258,128.563,-15.6069,2.80994,149.103,-17.7963,-0.881358,-0.469788,0.0500733
54656,352686831231,0.645916,-0.761269,-0.0571191,2.80994,149.103,-17.7963,29.0202,158.006,-29.0064,-0.877638,-0.298081,0.375366
54656,352686831231,0.645916,-0.761269,-0.0571191,29.0202,158.006,-29.0064,44.9088,160.298,-41.7547,-0.775078,-0.111833,0.62189
54656,352686831231,0.645916,-0.761269,-0.0571191,-44.3075,144.538,-25.718,5.11578,175.935,-52.6271,-0.766966,-0.487222,0.417585
54656,352686831231,0.645916,-0.761269,-0.0571191,5.11578,175.935,-52.6271,38.9362,168.485,-67.3503,-0.898739,0.197968,0.391252
54656,352686831231,0.645916,-0.761269,-0.0571191,38.9362,168.485,-67.3503,56.6038,158.251,-72.9478,-0.834521,0.483395,0.264395
54656,352686831231,0.645916,-0.761269,-0.0571191,56.6038,158.251,-72.9478,67.8094,148.658,-75.4741,-0.748769,0.640976,0.168805
54656,352686831231,0.645916,-0.761269,-0.0571191,-48.444,143.609,-35.6351,-4.89328,171.119,-68.5129,-0.712659,-0.45018,0.53801
54656,352686831231,0.645916,-0.761269,-0.0571191,-4.89328,171.119,-68.5129,32.9853,162.972,-85.2842,-0.897192,0.192985,0.397245
54656,352686831231,0.645916,-0.761269,-0.0571191,32.9853,162.972,-85.2842,54.6275,151.93,-90.7682,-0.868903,0.443318,0.220174
